Key,Data
accueil.hero.titre,Votre réseau d'agences de quartier à Toulouse
accueil.hero.soustitre,Booster Immobilier : des agences ancrées dans les quartiers toulousains. Plus de 1 000 avis certifiés et une promesse de réactivité.
accueil.hero.cta_titre,Vendre
accueil.hero.cta_libelle,Estimer votre bien en 5 clics
accueil.hero.input_placeholder,Adresse de votre bien
accueil.hero.bouton_estimation,Voir le prix
accueil.biens.titre,Nos biens en vente
accueil.biens.cta,Voir nos biens
accueil.equipe.titre,Nos agences de quartier à votre service
accueil.equipe.soustitre,Des conseillers ancrés dans leur secteur : Minimes, Bonnefoy, Saint-Cyprien, Côte Pavée, Roseraie, Saint-Agne, Saint-Yrieux-la-Perche.
vendre.hero.titre,Vendre votre bien avec Booster Immobilier
vendre.hero.soustitre,Des experts locaux pour maximiser la valeur de votre bien
vendre.hero.cta,Estimer mon bien
about.hero.titre,Notre histoire
about.hero.soustitre,Une équipe passionnée au service de l'immobilier toulousain
